gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G002.404+00.068,2.404,0.068,51.97,7.1,0.1,22.32,0.192,mJy/beam,6893.719775719162,8000.0,23.1,0.2,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,4.583849270699592,3.575908908908906,12.722108108108097,8.158718718718712,51.068039414210546,,,0
G002.422-00.611,2.42263,-0.611,88.9424,7.8,0.3,3.5200000000000005,0.10800000000000001,mJy/beam,6893.719775719162,8000.0,18.6,0.7,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,4.425391479629196,3.742018018018015,12.551029029029017,8.160322322322315,51.23767814655393,,,0
G002.521-00.024,2.52157,-0.0231409,171.062,8.3,1.3,104.72000000000001,11.088000000000001,mJy/beam,146848.46859520106,8000.0,25.6,3.1,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,4.330129157334564,3.8319249249249214,12.46894094094093,8.163837837837832,52.51431910199331,,,0
G002.813-00.141,2.81311,-0.140414,107.361,2.5,0.8,178.64000000000001,13.552000000000001,mJy/beam,146848.46859520106,8000.0,23.0,2.0,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,6.836113174221238,1.3465565565565554,14.992644644644631,8.153873873873867,55.50290923241035,,,0
G002.889-00.044,2.88951,-0.0439491,283.624,-2.08,0.16,93.86632992646962,1.3329299466389557,mJy/beam,41770.0,8000.0,22.98,0.37,4356.0,126.0,Balser+2015,"Quireza et al. (2006a), Balser et al. (2015)",NRAO 140 Foot,,9.6907047204664,0.01,17.845628628628614,8.158884884884879,56.084607437677946,,,0
G003.251-00.276,3.25167,-0.275041,188.411,5.1,0.2,4.8,0.06,mJy/beam,36712.117148800266,8000.0,25.7,0.4,,500.0,WISE Catalog,Anderson et al. (2017),GBT,,5.860036105294101,2.3193273273273256,14.00533133133132,8.155985985985978,59.893112685045,,,0
G003.266-00.061,3.26676,-0.0607374,392.71,7.1,0.16,175.94675295634212,2.2098575431119527,mJy/beam,41770.0,8000.0,25.34,0.37,6696.0,252.0,Balser+2015,"Quireza et al. (2006a), Balser et al. (2015)",NRAO 140 Foot,,5.265668244147118,2.8982162162162135,13.40335135135134,8.147829829829824,60.01973026316582,,,0
G003.349-00.078,3.34952,-0.0770331,72.1168,8.3,1.1,418.88000000000005,30.8,mJy/beam,146848.46859520106,8000.0,29.7,2.5,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,4.949990528397358,3.2408638638638614,13.12657157157156,8.153652652652646,60.79649664031365,,,0
G003.439-00.349,3.439,-0.349,42.5,-21.6,0.1,18.12,0.20800000000000002,mJy/beam,6893.719775719162,8000.0,20.1,0.3,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,,,,8.1539079079079,62.1707527973392,,,0
G003.442-00.650,3.44252,-0.649314,120.6,0.1,0.5,2.4800000000000004,0.096,mJy/beam,6893.719775719162,8000.0,24.4,1.1,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,7.958035346018706,0.01,16.091048048048034,8.153285285285278,61.74226893202963,,,0
